
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-03-13;23.781,22;2987606551910;24.479,06;2719591219021;24.433,29;3868827414217;23.764,28;62386124296;24.125,20;328376207683;23.597,50;3757000417551
2012-03-14;23.903,48;3008012142443;24.580,86;2733653912219;24.555,53;3894572224285;23.875,41;63768148824;24.229,47;330193636775;23.722,97;3782691037163
2012-03-15;23.907,53;3012659465333;24.588,77;2742472439885;24.547,32;3905291935797;23.882,16;68324449048;24.239,71;328925987945;23.714,69;3783182992418
2012-03-16;23.932,79;3016785678017;24.610,57;2746364910908;24.575,82;3914257139982;23.899,59;68714486703;24.254,55;331244005435;23.734,64;3791750342492
2012-03-17;23.932,79;3016785678017;24.610,57;2746364910908;24.575,82;3914257139982;23.899,59;68714486703;24.254,55;331244005435;23.734,64;3791750342492
2012-03-18;23.932,79;3016785678017;24.610,57;2746364910908;24.575,82;3914257139982;23.899,59;68714486703;24.254,55;331244005435;23.734,64;3791750342492
2012-03-19;23.886,49;3012260702908;24.557,03;2741901399562;24.532,72;3910756075345;23.860,36;68659319935;24.228,86;330850454306;23.686,30;3791414239753
2012-03-20;23.943,00;3020220522197;24.623,54;2752336065953;24.601,33;3924000250122;23.917,05;69009300358;24.283,23;331593955340;23.744,55;3802102286026
2012-03-21;23.879,86;3013466921484;24.564,30;2747073871941;24.539,26;3917974416972;23.851,37;70299139989;24.212,72;330700042308;23.675,97;3792215975775
2012-03-22;23.864,50;3013756269435;24.528,99;2745552095675;24.510,93;3915481653813;23.835,29;70422270925;24.192,22;330456567289;23.646,74;3788752763865
2012-03-23;23.803,81;3007595558602;24.479,93;2742837929967;24.456,91;3907708864599;23.782,78;70381619644;24.130,10;329615573449;23.580,28;3778508692473
2012-03-24;23.803,81;3007595558602;24.479,93;2742837929967;24.456,91;3907708864599;23.782,78;70381619644;24.130,10;329615573449;23.580,28;3778508692473
2012-03-25;23.803,81;3007595558602;24.479,93;2742837929967;24.456,91;3907708864599;23.782,78;70381619644;24.130,10;329615573449;23.580,28;3778508692473
2012-03-26;23.856,94;3015677488458;24.529,91;2750003478463;24.515,51;3919338510708;23.834,33;70616283871;24.173,65;330263020173;23.641,01;3788978399325
2012-03-27;23.925,42;3025780758598;24.595,66;2758802615252;24.581,72;3932001469008;23.905,50;70923892722;24.242,25;331184727876;23.723,76;3802647148941
2012-03-28;24.001,41;3036137203429;24.678,32;2769586748588;24.649,16;3944768136729;23.988,00;71365352411;24.320,44;332282934439;23.786,02;3812671324262
