
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-04-25;24.230,73;6242339432310;27.782,52;5432031837418;27.037,92;7503228849408;27.176,12;47160345116;49.939,93;958734709360;24.050,90;9341425209680
2012-04-26;24.267,85;6252019877473;27.827,58;5440042535590;27.073,45;7511042235234;27.209,84;47358027018;50.017,75;960348575562;24.084,68;9354739675499
2012-04-27;24.280,68;6253255629441;27.823,70;5437518131795;27.078,11;7513182704444;27.200,61;46857782264;50.061,09;961256048808;24.086,45;9354105658487
2012-04-28;24.280,68;6253255629441;27.823,70;5437518131795;27.078,11;7513182704444;27.200,61;46857782264;50.061,09;961256048808;24.086,45;9354105658487
2012-04-29;24.280,68;6253255629441;27.823,70;5437518131795;27.078,11;7513182704444;27.200,61;46857782264;50.061,09;961256048808;24.086,45;9354105658487
2012-04-30;24.329,29;6258911687419;27.879,94;5442552966231;27.129,82;7519501409852;27.235,89;46915133093;50.137,29;961374020244;24.134,27;9364822584708
2012-05-01;24.329,29;6258911687419;27.879,94;5442552966231;27.129,82;7519501409852;27.235,89;46915133093;50.137,29;961374020244;24.134,27;9364822584708
2012-05-02;24.375,23;6269692237335;27.934,95;5459897506714;27.179,80;7536318439156;27.300,84;47769514607;50.246,68;961134988773;24.181,04;9375701046484
2012-05-03;24.383,51;6269520417660;27.948,48;5461630529367;27.195,27;7538684636241;27.309,79;48077822383;50.270,94;963203990927;24.188,18;9378331976063
2012-05-04;24.295,41;6246048886136;27.839,96;5439775140237;27.089,24;7508777361863;27.209,72;47842243778;50.092,37;959628352259;24.092,96;9341645612056
2012-05-05;24.295,41;6246048886136;27.839,96;5439775140237;27.089,24;7508777361863;27.209,72;47842243778;50.092,37;959628352259;24.092,96;9341645612056
2012-05-06;24.295,41;6246048886136;27.839,96;5439775140237;27.089,24;7508777361863;27.209,72;47842243778;50.092,37;959628352259;24.092,96;9341645612056
2012-05-07;24.230,99;6229015758500;27.758,86;5424715147187;27.026,11;7489081506499;27.147,98;47782975882;49.977,47;957513112476;24.025,33;9315382165506
2012-05-08;24.224,95;6222888155023;27.761,58;5425711043951;27.023,47;7487661099430;27.146,42;47692712909;49.965,57;957636361277;24.034,14;9319017953347
2012-05-09;24.184,89;6212254235056;27.720,96;5416676392707;26.990,36;7478693823809;27.118,81;47682875366;49.914,04;956736511990;24.002,50;9304681709909
2012-05-10;24.136,42;6200624854038;27.662,81;5406482106238;26.938,89;7463100365765;27.056,75;47824730061;49.819,85;955056042818;23.960,65;9286724000342
2012-05-11;24.077,16;6186468006110;27.596,59;5390766131173;26.860,74;7439095471894;27.003,47;47854070197;49.696,06;952690310056;23.901,30;9264941918601
2012-05-12;24.077,16;6186468006110;27.596,59;5390766131173;26.860,74;7439095471894;27.003,47;47854070197;49.696,06;952690310056;23.901,30;9264941918601
2012-05-13;24.077,16;6186468006110;27.596,59;5390766131173;26.860,74;7439095471894;27.003,47;47854070197;49.696,06;952690310056;23.901,30;9264941918601
2012-05-14;24.069,04;6183500265190;27.594,98;5390951279136;26.858,48;7440322421857;26.997,85;48176374133;49.692,64;953325142374;23.894,35;9276387924051
2012-05-15;24.001,53;6171328971435;27.496,02;5380665934642;26.781,44;7429372220701;26.900,68;51207976227;49.554,57;948472861791;23.835,42;9251205517579
2012-05-16;23.986,23;6171583251212;27.474,81;5376634779927;26.769,81;7431124792281;26.872,95;51991200427;49.516,16;950295633892;23.816,31;9246595857921
2012-05-17;23.938,89;6158253930895;27.441,11;5369688303740;26.728,92;7421049262770;26.815,21;51503760500;49.398,55;948117150146;23.774,95;9234187901444
2012-05-18;23.890,67;6145098532112;27.385,87;5354731613128;26.682,81;7400868523606;26.743,66;51359541172;49.289,82;945921175369;23.731,75;9217059673771
2012-05-19;23.890,67;6145098532112;27.385,87;5354731613128;26.682,81;7400868523606;26.743,66;51359541172;49.289,82;945921175369;23.731,75;9217059673771
2012-05-20;23.890,67;6145098532112;27.385,87;5354731613128;26.682,81;7400868523606;26.743,66;51359541172;49.289,82;945921175369;23.731,75;9217059673771
2012-05-21;23.890,67;6145098532112;27.385,87;5354731613128;26.682,81;7400868523606;26.743,66;51359541172;49.289,82;945921175369;23.731,75;9217059673771
2012-05-22;23.848,42;6131375083158;27.329,38;5338995349078;26.622,51;7379607797370;26.704,74;51278402208;49.198,65;944147968448;23.682,77;9196164401310
2012-05-23;23.838,16;6126587656524;27.316,87;5329424061682;26.603,07;7366875240308;26.722,21;50871208188;49.207,04;944398507542;23.660,68;9187687507825
2012-05-24;23.773,13;6106793445060;27.238,76;5302010054382;26.534,10;7337233815912;26.613,13;50264974223;49.040,38;941008495103;23.604,95;9161084285080
2012-05-25;23.793,08;6105727629078;27.264,36;5292560855335;26.556,68;7331007192014;26.656,00;50429378904;49.089,42;941671573973;23.621,74;9164755251123
2012-05-26;23.793,08;6105727629078;27.264,36;5292560855335;26.556,68;7331007192014;26.656,00;50429378904;49.089,42;941671573973;23.621,74;9164755251123
2012-05-27;23.793,08;6105727629078;27.264,36;5292560855335;26.556,68;7331007192014;26.656,00;50429378904;49.089,42;941671573973;23.621,74;9164755251123
2012-05-28;23.869,10;6122965765600;27.365,60;5306652000038;26.656,77;7355185214570;26.715,33;50278729343;49.210,65;944055536845;23.694,67;9192283972074
2012-05-29;23.903,71;6129787095278;27.414,89;5309931342492;26.690,85;7359203152176;26.752,20;50369059039;49.275,55;945271929879;23.728,42;9204616957875
2012-05-30;24.007,79;6152434657527;27.542,12;5327104249520;26.808,18;7387260494735;26.886,48;49587099871;49.501,45;949644506727;23.835,14;9244093077539
2012-05-31;24.029,59;6147231671466;27.533,08;5312571012371;26.803,15;7374050416226;26.852,26;49480666444;49.512,33;948055378597;23.851,16;9240269424188
2012-06-01;24.048,62;6147131505052;27.558,28;5316813017972;26.818,66;7379464158876;26.880,48;51457758942;49.550,32;944892680950;23.874,26;9239904975306
2012-06-02;24.048,62;6147131505052;27.558,28;5316813017972;26.818,66;7379464158876;26.880,48;51457758942;49.550,32;944892680950;23.874,26;9239904975306
2012-06-03;24.048,62;6147131505052;27.558,28;5316813017972;26.818,66;7379464158876;26.880,48;51457758942;49.550,32;944892680950;23.874,26;9239904975306
