
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-02-15;25.392,09;3216111915625;26.356,01;3429989609184;26.627,90;3275337454121;26.319,41;22776030898;25.220,03;272696000304;26.561,24;3374204404158
2012-02-16;25.496,87;3232073409492;26.453,67;3445404731580;26.717,93;3292209942860;26.408,16;22882834366;25.314,44;274020948301;26.654,57;3390263805030
2012-02-17;25.617,98;3247842858768;26.575,71;3465196799218;26.865,40;3312757588725;26.560,68;23030156114;25.414,76;277748021124;26.791,74;3411964431061
2012-02-18;25.617,98;3247842858768;26.575,71;3465196799218;26.865,40;3312757588725;26.560,68;23030156114;25.414,76;277748021124;26.791,74;3411964431061
2012-02-19;25.617,98;3247842858768;26.575,71;3465196799218;26.865,40;3312757588725;26.560,68;23030156114;25.414,76;277748021124;26.791,74;3411964431061
2012-02-20;25.736,36;3263609874891;26.701,38;3483838965953;26.967,05;3328236652052;26.653,18;23207934079;25.527,07;279010410138;26.898,27;3428630648358
2012-02-21;25.732,45;3264767351395;26.700,03;3484657446974;26.971,71;3330272596253;26.658,90;23395820189;25.530,57;279048608672;26.889,94;3428101034446
2012-02-22;25.668,22;3257345177680;26.635,71;3477194866795;26.914,79;3323804933050;26.606,28;23387795524;25.482,47;278730068620;26.825,45;3421065496208
2012-02-23;25.708,46;3264223242352;26.658,70;3483885068843;26.954,91;3332813343599;26.633,31;23564531874;25.510,18;279040537145;26.868,19;3427616766115
2012-02-24;25.644,40;3258480184433;26.594,83;3477766259514;26.894,81;3327757907849;26.583,76;23556053520;25.466,24;278709284782;26.803,22;3422205192445
2012-02-25;25.644,40;3258480184433;26.594,83;3477766259514;26.894,81;3327757907849;26.583,76;23556053520;25.466,24;278709284782;26.803,22;3422205192445
2012-02-26;25.644,40;3258480184433;26.594,83;3477766259514;26.894,81;3327757907849;26.583,76;23556053520;25.466,24;278709284782;26.803,22;3422205192445
2012-02-27;25.652,16;3261790690516;26.593,89;3481485582299;26.889,17;3330118125042;26.594,57;23592892598;25.482,78;278922209699;26.820,63;3425961391640
2012-02-28;25.617,78;3258590497247;26.567,12;3480186888151;26.860,18;3328389840711;26.582,35;23590769533;25.438,61;278469822015;26.773,50;3421014748087
2012-02-29;25.662,67;3259414429161;26.599,31;3480213993240;26.908,33;3328890349083;26.638,03;23655529096;25.506,52;278891002999;26.827,94;3421886291189
2012-03-01;25.722,40;3265007299899;26.665,74;3493120448786;26.948,88;3333680277553;26.685,63;27575654950;25.572,07;275851031283;26.880,22;3422276970435
2012-03-02;25.870,95;3284986792861;26.817,47;3515016346830;27.132,82;3357338136628;26.849,62;27794297044;25.697,46;277251224936;27.044,97;3443684036959
2012-03-03;25.870,95;3284986792861;26.817,47;3515016346830;27.132,82;3357338136628;26.849,62;27794297044;25.697,46;277251224936;27.044,97;3443684036959
2012-03-04;25.870,95;3284986792861;26.817,47;3515016346830;27.132,82;3357338136628;26.849,62;27794297044;25.697,46;277251224936;27.044,97;3443684036959
2012-03-05;25.990,20;3302810184951;26.945,25;3533560271510;27.235,51;3373193623323;26.964,71;27921614011;25.803,94;278539222463;27.160,83;3459996513004
2012-03-06;25.825,68;3283911479159;26.791,28;3515753518810;27.084,76;3356580199056;26.797,12;27801641458;25.644,22;280275122786;26.995,70;3440607942401
2012-03-07;25.521,08;3246407501594;26.513,00;3480960113316;26.771,99;3322032285152;26.454,10;27482404559;25.343,21;277116691086;26.682,14;3401546443031
2012-03-08;25.613,28;3261314562193;26.596,73;3496606991574;26.884,68;3343350435471;26.585,37;27823223733;25.416,12;277900685256;26.784,51;3416654312627
2012-03-09;25.712,14;3276275554695;26.692,62;3511490996695;26.987,91;3358551056075;26.686,06;28046553907;25.530,59;279347421414;26.876,37;3429607032549
2012-03-10;25.712,14;3276275554695;26.692,62;3511490996695;26.987,91;3358551056075;26.686,06;28046553907;25.530,59;279347421414;26.876,37;3429607032549
2012-03-11;25.712,14;3276275554695;26.692,62;3511490996695;26.987,91;3358551056075;26.686,06;28046553907;25.530,59;279347421414;26.876,37;3429607032549
2012-03-12;25.767,98;3287005772075;26.734,35;3518844369711;27.021,02;3365739467453;26.731,77;28313139983;25.593,90;280267937572;26.916,62;3436631532381
2012-03-13;25.700,21;3281603743848;26.676,73;3514161296856;26.964,11;3362413373198;26.677,03;28567633577;25.538,93;279922372649;26.856,07;3431429305044
2012-03-14;25.923,36;3316317121940;26.884,75;3548991749125;27.194,63;3398256568972;26.919,11;29152419942;25.744,59;282598885233;27.078,95;3464959146803
2012-03-15;25.957,04;3322036664117;26.909,21;3567071301871;27.205,94;3411990338353;26.905,96;32496856592;25.777,90;279693391439;27.097,99;3472028578376
2012-03-16;25.985,51;3328005860747;26.934,12;3576352676875;27.253,48;3422511935704;26.943,40;32619493141;25.798,03;283354307905;27.130,77;3481257244709
2012-03-17;25.985,51;3328005860747;26.934,12;3576352676875;27.253,48;3422511935704;26.943,40;32619493141;25.798,03;283354307905;27.130,77;3481257244709
2012-03-18;25.985,51;3328005860747;26.934,12;3576352676875;27.253,48;3422511935704;26.943,40;32619493141;25.798,03;283354307905;27.130,77;3481257244709
2012-03-19;25.913,17;3321209775311;26.858,55;3569288233736;27.183,39;3416698374402;26.877,42;32545307229;25.751,50;282871571258;27.052,99;3477658249700
2012-03-20;25.989,43;3333770783928;26.944,22;3584085000833;27.272,45;3431963348082;26.953,64;32669295999;25.822,59;283691652487;27.132,78;3489114021807
2012-03-21;25.883,94;3322928825923;26.846,09;3573873039586;27.162,41;3422214893337;26.840,83;32921353151;25.712,65;282586873653;27.020,44;3476452857385
2012-03-22;25.857,95;3322508452820;26.807,36;3575270765265;27.133,86;3424556746257;26.814,98;32911911538;25.686,67;282389936092;26.964,46;3470961219363
2012-03-23;25.749,15;3312529642236;26.704,51;3566805764076;27.023,58;3417040536471;26.697,97;32829185051;25.578,72;281393941271;26.844,23;3458557673115
