
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-02-27;26.040,02;1201610970851;27.556,84;1620645656217;24.619,24;1578817014827;27.948,04;22252241250;43.599,51;103506990060;25.342,55;1082164604123
2012-02-28;26.045,96;1199055532812;27.578,86;1619269298715;24.630,63;1576478126854;27.955,35;22259845001;43.615,55;103530387106;25.350,93;1082315234451
2012-02-29;25.969,59;1192246346756;27.513,37;1615065745003;24.576,21;1569869992894;27.877,97;22205870809;43.514,91;103182141447;25.291,07;1080342149555
2012-03-01;25.970,14;1188813043405;27.502,75;1615746568268;24.566,69;1565759898680;27.894,35;24717660276;43.501,88;101974259097;25.286,63;1077264342324
2012-03-02;25.966,51;1187485948360;27.492,49;1614132473186;24.556,14;1562556381309;27.885,42;26365621030;43.483,93;101944916172;25.278,58;1076532923250
2012-03-03;25.966,51;1187485948360;27.492,49;1614132473186;24.556,14;1562556381309;27.885,42;26365621030;43.483,93;101944916172;25.278,58;1076532923250
2012-03-04;25.966,51;1187485948360;27.492,49;1614132473186;24.556,14;1562556381309;27.885,42;26365621030;43.483,93;101944916172;25.278,58;1076532923250
2012-03-05;25.996,55;1184249140026;27.542,49;1612035899894;24.592,54;1560611198749;27.926,08;26405906947;43.553,31;102137513578;25.310,34;1076994220324
2012-03-06;26.039,68;1183613702844;27.588,29;1609590398500;24.644,91;1560109134511;27.952,15;26423053070;43.619,92;102629593475;25.342,83;1076013092223
2012-03-07;26.090,28;1183165228671;27.640,64;1608978367175;24.697,92;1558020940466;27.991,38;26165283635;43.711,78;102706993230;25.408,46;1077901566979
2012-03-08;26.104,16;1177318964952;27.651,37;1602025860632;24.705,08;1546958966866;28.010,43;26080071131;43.730,58;102670476196;25.413,89;1074853445347
2012-03-09;26.124,64;1172979783581;27.693,33;1599899270308;24.733,04;1543336939503;28.040,76;26054637402;43.764,35;102578621261;25.442,64;1070657560526
2012-03-10;26.124,64;1172979783581;27.693,33;1599899270308;24.733,04;1543336939503;28.040,76;26054637402;43.764,35;102578621261;25.442,64;1070657560526
2012-03-11;26.124,64;1172979783581;27.693,33;1599899270308;24.733,04;1543336939503;28.040,76;26054637402;43.764,35;102578621261;25.442,64;1070657560526
2012-03-12;26.114,82;1169145427940;27.684,86;1593908372790;24.714,03;1538671281170;28.040,45;25088892844;43.739,52;102152586148;25.424,58;1068886894807
2012-03-13;26.081,81;1163327766515;27.617,64;1581674424603;24.658,21;1528361864602;28.017,12;24794541146;43.671,09;101522477061;25.373,51;1065277538387
2012-03-14;26.031,82;1158089004859;27.544,01;1573613813751;24.594,63;1520886743820;27.982,72;24677280551;43.559,53;100991446648;25.308,58;1062062952751
2012-03-15;25.955,83;1150727954080;27.463,91;1564480572513;24.509,05;1513828663784;27.903,93;25958847415;43.419,03;99097370462;25.234,72;1058242665594
2012-03-16;25.945,48;1149888508237;27.460,75;1561578133295;24.510,16;1511841928658;27.902,66;25303151070;43.419,17;99335985578;25.220,46;1056423101551
2012-03-17;25.945,48;1149888508237;27.460,75;1561578133295;24.510,16;1511841928658;27.902,66;25303151070;43.419,17;99335985578;25.220,46;1056423101551
2012-03-18;25.945,48;1149888508237;27.460,75;1561578133295;24.510,16;1511841928658;27.902,66;25303151070;43.419,17;99335985578;25.220,46;1056423101551
2012-03-19;25.953,42;1145981046174;27.449,77;1558285277624;24.506,43;1507289707117;27.898,66;25303870475;43.413,81;99179593136;25.222,76;1055580230276
2012-03-20;25.951,57;1141809820833;27.444,16;1551223868035;24.501,14;1499966759829;27.897,02;25308580960;43.404,34;98927942329;25.219,48;1053308162654
2012-03-21;25.942,26;1136478312721;27.433,24;1544566586874;24.497,20;1492515761655;27.888,96;25122885272;43.390,93;98830883099;25.207,12;1049936084204
2012-03-22;25.955,29;1130846390572;27.391,84;1531995638946;24.509,26;1483960436283;27.894,63;25117252458;43.377,50;98841214542;25.127,87;1044304443289
