
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-02-24;20.975,38;2389853178669;21.750,68;1866541437705;21.800,92;2407781835347;21.102,60;35660349937;20.564,02;417390114649;20.675,18;3500524256719
2012-02-25;20.975,38;2389853178669;21.750,68;1866541437705;21.800,92;2407781835347;21.102,60;35660349937;20.564,02;417390114649;20.675,18;3500524256719
2012-02-26;20.975,38;2389853178669;21.750,68;1866541437705;21.800,92;2407781835347;21.102,60;35660349937;20.564,02;417390114649;20.675,18;3500524256719
2012-02-27;20.969,09;2389927891533;21.731,37;1862728482568;21.779,58;2404976854466;21.091,41;35646142216;20.549,85;417443809490;20.666,96;3501108530451
2012-02-28;20.975,22;2387512595811;21.747,43;1864586159453;21.790,45;2405219032222;21.096,43;35653404373;20.555,35;417559161376;20.672,42;3501122639908
2012-02-29;20.930,08;2400470466812;21.704,62;1870236935965;21.755,09;2419720919835;21.065,99;35624606810;20.529,28;420329726575;20.639,08;3523371815216
2012-03-01;20.936,42;2400405266612;21.715,04;1870815853061;21.764,00;2420596624996;21.087,14;36377901118;20.541,08;419621777602;20.649,81;3519249848157
2012-03-02;20.984,86;2405203285719;21.757,58;1873780301484;21.809,11;2426560501353;21.118,33;38465165027;20.571,51;420276150222;20.691,23;3526145875800
2012-03-03;20.984,86;2405203285719;21.757,58;1873780301484;21.809,11;2426560501353;21.118,33;38465165027;20.571,51;420276150222;20.691,23;3526145875800
2012-03-04;20.984,86;2405203285719;21.757,58;1873780301484;21.809,11;2426560501353;21.118,33;38465165027;20.571,51;420276150222;20.691,23;3526145875800
2012-03-05;21.025,71;2409191030244;21.806,49;1877634190643;21.848,72;2428895714731;21.157,25;38538838759;20.612,99;421074597396;20.727,01;3531931894757
2012-03-06;21.005,99;2406163142616;21.796,84;1875479607371;21.847,97;2426790743168;21.141,21;38503225921;20.605,01;420818078226;20.715,50;3528234227700
2012-03-07;20.978,19;2403248670646;21.785,68;1874051243912;21.822,22;2422801934773;21.121,78;38488657521;20.590,46;420539431181;20.703,00;3526124577885
2012-03-08;21.002,87;2404966515416;21.812,51;1873638143354;21.849,31;2423723309811;21.143,48;38515914565;20.606,29;420883507200;20.724,69;3528718265756
2012-03-09;21.016,85;2406237089129;21.828,78;1875119569125;21.865,75;2425044801259;21.170,30;38574798191;20.618,78;421145275767;20.737,42;3512680712932
2012-03-10;21.016,85;2406237089129;21.828,78;1875119569125;21.865,75;2425044801259;21.170,30;38574798191;20.618,78;421145275767;20.737,42;3512680712932
2012-03-11;21.016,85;2406237089129;21.828,78;1875119569125;21.865,75;2425044801259;21.170,30;38574798191;20.618,78;421145275767;20.737,42;3512680712932
2012-03-12;21.023,24;2406729237427;21.831,12;1870878004554;21.872,72;2423692840430;21.183,30;38622116690;20.626,63;421415833268;20.736,02;3512110903874
2012-03-13;21.000,14;2396616633046;21.812,57;1866703463438;21.850,30;2414467031600;21.171,52;38621165337;20.614,03;420960373452;20.715,46;3507578539471
2012-03-14;21.023,35;2399701382955;21.804,04;1867664369130;21.841,93;2413425713848;21.177,48;38677382376;20.611,19;420956595857;20.710,16;3509179062488
2012-03-15;20.988,71;2395350746594;21.766,01;1865108414655;21.803,41;2411036245163;21.140,32;39249526563;20.582,46;418119524694;20.677,99;3502420982426
2012-03-16;20.992,68;2395348056740;21.774,89;1865630447735;21.810,67;2412070894401;21.140,80;37823804861;20.583,78;418412889357;20.672,39;3503392965130
2012-03-17;20.992,68;2395348056740;21.774,89;1865630447735;21.810,67;2412070894401;21.140,80;37823804861;20.583,78;418412889357;20.672,39;3503392965130
2012-03-18;20.992,68;2395348056740;21.774,89;1865630447735;21.810,67;2412070894401;21.140,80;37823804861;20.583,78;418412889357;20.672,39;3503392965130
2012-03-19;20.978,39;2393294104786;21.749,96;1863114777834;21.790,91;2409751001148;21.129,65;37815694237;20.574,12;418186920510;20.653,66;3502047063807
2012-03-20;20.999,89;2396110100557;21.776,89;1864179561747;21.819,48;2411531133452;21.150,40;37796701898;20.595,59;418702465218;20.679,02;3507472891096
2012-03-21;20.995,24;2394864490438;21.766,84;1863057252962;21.810,20;2410089836800;21.143,00;37677394396;20.587,21;418419917744;20.661,29;3503760610088
2012-03-22;20.990,60;2395054456948;21.725,17;1857814845942;21.803,20;2407566393504;21.137,35;37662409413;20.564,36;418349805482;20.645,73;3502024559775
2012-03-23;21.003,65;2396468229733;21.747,87;1858987154667;21.829,73;2410744085012;21.162,42;37697906436;20.581,41;418882221004;20.661,28;3504269362167
2012-03-24;21.003,65;2396468229733;21.747,87;1858987154667;21.829,73;2410744085012;21.162,42;37697906436;20.581,41;418882221004;20.661,28;3504269362167
2012-03-25;21.003,65;2396468229733;21.747,87;1858987154667;21.829,73;2410744085012;21.162,42;37697906436;20.581,41;418882221004;20.661,28;3504269362167
2012-03-26;21.018,99;2397044351492;21.763,92;1859381472555;21.846,20;2411181439508;21.179,61;37657570539;20.595,66;419236510874;20.680,74;3509202934161
2012-03-27;21.030,01;2398219060558;21.770,94;1857531877704;21.848,78;2410350064881;21.191,47;37699040073;20.598,87;419108670264;20.698,50;3511774547714
2012-03-28;21.044,31;2399833947303;21.794,16;1858835160615;21.868,17;2412337569803;21.209,21;37727362866;20.622,50;419710854340;20.712,81;3514926918010
2012-03-29;21.031,60;2396017378412;21.784,24;1857554851720;21.857,81;2411749155398;21.203,23;37738307718;20.618,88;419703134532;20.701,45;3513526444006
2012-03-30;21.001,15;2411266579049;21.750,20;1863646130993;21.837,52;2429098417801;21.161,49;37690017781;20.593,63;422877248522;20.681,95;3540309531276
2012-03-31;21.001,15;2411266579049;21.750,20;1863646130993;21.837,52;2429098417801;21.161,49;37690017781;20.593,63;422877248522;20.681,95;3540309531276
2012-04-01;21.001,15;2411266579049;21.750,20;1863646130993;21.837,52;2429098417801;21.161,49;37690017781;20.593,63;422877248522;20.681,95;3540309531276
2012-04-02;20.999,40;2410464956554;21.744,02;1862630659253;21.823,75;2426242266802;21.162,30;38116268727;20.586,17;421764403973;20.667,40;3535709153515
2012-04-03;21.022,09;2411940399158;21.770,44;1864976699696;21.850,13;2427113540474;21.186,48;39879754822;20.605,24;422423689949;20.698,00;3539127835278
2012-04-04;21.003,13;2408048212263;21.752,37;1862231355093;21.832,48;2423579253288;21.184,83;39881762435;20.600,17;421918635746;20.681,59;3536687382255
2012-04-05;20.983,98;2406184933718;21.732,29;1858977403874;21.809,58;2418923673930;21.157,12;39826478166;20.580,01;421526316175;20.655,17;3515845850714
2012-04-06;20.983,98;2406184933718;21.732,29;1858977403874;21.809,58;2418923673930;21.157,12;39826478166;20.580,01;421526316175;20.655,17;3515845850714
2012-04-07;20.983,98;2406184933718;21.732,29;1858977403874;21.809,58;2418923673930;21.157,12;39826478166;20.580,01;421526316175;20.655,17;3515845850714
2012-04-08;20.983,98;2406184933718;21.732,29;1858977403874;21.809,58;2418923673930;21.157,12;39826478166;20.580,01;421526316175;20.655,17;3515845850714
2012-04-09;21.005,15;2408165828984;21.754,23;1858739442981;21.837,39;2421589050182;21.174,68;39862330666;20.604,02;421710111820;20.677,45;3517737311352
2012-04-10;20.988,24;2404854296632;21.745,03;1856277319697;21.829,55;2419715850605;21.164,40;39899941956;20.597,94;421562543476;20.667,09;3513725141846
2012-04-11;20.954,53;2400650342327;21.708,04;1844868326633;21.793,93;2417267231091;21.137,46;39782104535;20.575,61;421076662607;20.626,11;3507129677241
2012-04-12;20.951,23;2400514882795;21.705,14;1844462379960;21.785,72;2413877356090;21.127,36;39816613186;20.566,21;420961990486;20.620,73;3506541730650
2012-04-13;20.962,85;2396089756739;21.713,58;1845836091084;21.793,01;2410025925686;21.137,05;39868673870;20.565,06;419284014087;20.629,08;3511058398952
2012-04-14;20.962,85;2396089756739;21.713,58;1845836091084;21.793,01;2410025925686;21.137,05;39868673870;20.565,06;419284014087;20.629,08;3511058398952
2012-04-15;20.962,85;2396089756739;21.713,58;1845836091084;21.793,01;2410025925686;21.137,05;39868673870;20.565,06;419284014087;20.629,08;3511058398952
2012-04-16;20.962,04;2395539862460;21.715,10;1845796229365;21.803,89;2411607817007;21.149,52;40205790325;20.578,13;418712575476;20.634,51;3511998034662
2012-04-17;20.977,13;2397713521651;21.733,39;1848608901957;21.822,27;2414938183297;21.158,77;40304400082;20.593,68;419257357126;20.650,37;3515568079306
2012-04-18;20.988,10;2400169020182;21.744,56;1849749866899;21.832,95;2415865164235;21.162,20;38886422023;20.602,27;419446199169;20.660,24;3519056968734
2012-04-19;20.987,18;2399684757424;21.748,53;1850078535873;21.842,10;2416889989620;21.171,77;38914953132;20.614,16;419621565198;20.662,32;3519719002323
2012-04-20;21.000,40;2402205223019;21.760,61;1851114458032;21.859,47;2418201680820;21.195,07;38946125753;20.632,45;420065852917;20.678,66;3524198702756
2012-04-21;21.000,40;2402205223019;21.760,61;1851114458032;21.859,47;2418201680820;21.195,07;38946125753;20.632,45;420065852917;20.678,66;3524198702756
2012-04-22;21.000,40;2402205223019;21.760,61;1851114458032;21.859,47;2418201680820;21.195,07;38946125753;20.632,45;420065852917;20.678,66;3524198702756
2012-04-23;21.018,64;2404127845197;21.773,94;1852920123481;21.869,06;2419619940363;21.206,75;39017941665;20.635,99;420432462474;20.693,59;3526880329218
2012-04-24;21.011,85;2403714787751;21.771,55;1853320944160;21.867,05;2419425969318;21.194,83;39066631778;20.635,59;420381979125;20.697,97;3528350280131
2012-04-25;21.010,38;2403957726487;21.767,50;1853253454613;21.859,34;2419562875648;21.197,28;39064494648;20.632,25;420240601591;20.691,46;3527134247183
2012-04-26;21.027,90;2406018517265;21.785,68;1853632283247;21.872,03;2421614851221;21.211,23;39028041360;20.649,20;421074334815;20.705,61;3531176434236
2012-04-27;21.029,65;2405154105449;21.787,45;1854136370596;21.871,16;2422226536957;21.211,67;39085998923;20.654,57;421227237498;20.708,85;3532145634391
2012-04-28;21.029,65;2405154105449;21.787,45;1854136370596;21.871,16;2422226536957;21.211,67;39085998923;20.654,57;421227237498;20.708,85;3532145634391
2012-04-29;21.029,65;2405154105449;21.787,45;1854136370596;21.871,16;2422226536957;21.211,67;39085998923;20.654,57;421227237498;20.708,85;3532145634391
2012-04-30;21.054,10;2425756306912;21.817,90;1866265220112;21.902,62;2444544548300;21.234,11;39252344947;20.674,98;425144567895;20.735,12;3566589200916
2012-05-01;21.054,10;2425756306912;21.817,90;1866265220112;21.902,62;2444544548300;21.234,11;39252344947;20.674,98;425144567895;20.735,12;3566589200916
2012-05-02;21.076,16;2427004270554;21.842,30;1868495747682;21.925,45;2447939107100;21.263,23;39908404174;20.704,16;425591087050;20.758,71;3566712942807
2012-05-03;21.089,17;2427565627430;21.857,95;1870294377533;21.940,97;2448548852009;21.272,06;41592095262;20.716,82;425856518362;20.770,19;3567582714768
2012-05-04;21.053,05;2422194069293;21.816,12;1866647902019;21.894,97;2444536055248;21.237,28;41510158610;20.680,86;425050445910;20.731,34;3559112763585
2012-05-05;21.053,05;2422194069293;21.816,12;1866647902019;21.894,97;2444536055248;21.237,28;41510158610;20.680,86;425050445910;20.731,34;3559112763585
2012-05-06;21.053,05;2422194069293;21.816,12;1866647902019;21.894,97;2444536055248;21.237,28;41510158610;20.680,86;425050445910;20.731,34;3559112763585
2012-05-07;21.033,98;2419347361510;21.795,56;1864679904698;21.881,59;2441510594561;21.227,50;41496274524;20.671,68;424839724999;20.718,19;3557982181488
2012-05-08;21.036,12;2419446424443;21.805,27;1865602256108;21.885,59;2440649176233;21.227,88;41535306232;20.674,49;424928973645;20.733,71;3559964585589
2012-05-09;21.028,76;2418238200150;21.796,36;1864317366620;21.883,78;2440854712057;21.226,82;41541091379;20.675,05;425070532402;20.727,78;3546422773220
2012-05-10;21.013,64;2416729444928;21.781,69;1862568850963;21.874,26;2439226774667;21.208,53;41545441300;20.667,67;424918801105;20.714,86;3541385251698
2012-05-11;20.982,94;2413284988656;21.748,82;1856846044216;21.834,27;2428950860567;21.187,85;41530803232;20.633,30;422186131674;20.680,89;3534184311979
2012-05-12;20.982,94;2413284988656;21.748,82;1856846044216;21.834,27;2428950860567;21.187,85;41530803232;20.633,30;422186131674;20.680,89;3534184311979
2012-05-13;20.982,94;2413284988656;21.748,82;1856846044216;21.834,27;2428950860567;21.187,85;41530803232;20.633,30;422186131674;20.680,89;3534184311979
2012-05-14;20.986,27;2406552221997;21.754,71;1859991162308;21.838,89;2429978793357;21.191,67;41623277203;20.640,99;422223230170;20.684,16;3536969049134
2012-05-15;20.972,40;2405990882950;21.732,45;1859150875373;21.832,90;2432218802046;21.177,88;42149525650;20.637,12;421830665265;20.681,75;3535916706122
2012-05-16;20.971,20;2406939003804;21.728,54;1859701241391;21.833,47;2433343214169;21.168,16;42257762092;20.634,78;422041369614;20.671,32;3534486286805
2012-05-17;20.978,51;2407362623983;21.732,56;1859404592921;21.832,56;2433531744939;21.150,34;40960681382;20.626,05;421659501629;20.671,61;3534624595024
2012-05-18;20.969,39;2406766379230;21.730,20;1859727325087;21.835,27;2433448546756;21.137,00;40939487276;20.625,14;422075630818;20.671,05;3535469919232
2012-05-19;20.969,39;2406766379230;21.730,20;1859727325087;21.835,27;2433448546756;21.137,00;40939487276;20.625,14;422075630818;20.671,05;3535469919232
2012-05-20;20.969,39;2406766379230;21.730,20;1859727325087;21.835,27;2433448546756;21.137,00;40939487276;20.625,14;422075630818;20.671,05;3535469919232
2012-05-21;20.969,39;2406766379230;21.730,20;1859727325087;21.835,27;2433448546756;21.137,00;40939487276;20.625,14;422075630818;20.671,05;3535469919232
2012-05-22;20.945,40;2404481435493;21.701,88;1859489480887;21.807,74;2431858719862;21.115,91;41012933393;20.599,02;421553655400;20.644,80;3530428664489
2012-05-23;20.931,29;2405594133894;21.680,59;1859497513011;21.782,20;2429636210216;21.117,64;40972699968;20.596,34;421435037630;20.620,44;3526980407642
2012-05-24;20.924,30;2405941400180;21.671,29;1863791078633;21.783,12;2433185176392;21.084,92;41018490696;20.575,58;421095884633;20.620,55;3527593271183
2012-05-25;20.926,38;2411140446703;21.685,09;1869574725081;21.786,03;2436075318379;21.105,09;41040675084;20.583,40;421206884611;20.622,08;3529893132102
2012-05-26;20.926,38;2411140446703;21.685,09;1869574725081;21.786,03;2436075318379;21.105,09;41040675084;20.583,40;421206884611;20.622,08;3529893132102
2012-05-27;20.926,38;2411140446703;21.685,09;1869574725081;21.786,03;2436075318379;21.105,09;41040675084;20.583,40;421206884611;20.622,08;3529893132102
2012-05-28;20.996,29;2420715857076;21.756,70;1878985303421;21.866,46;2446480035751;21.147,41;41090432107;20.636,02;422397237841;20.678,76;3540199291993
2012-05-29;21.002,11;2421309942112;21.771,08;1880007962002;21.870,52;2450530899410;21.160,29;41150314910;20.645,16;422607709752;20.689,62;3544269707618
2012-05-30;21.051,47;2423491072353;21.823,41;1885599487235;21.921,14;2457176330460;21.211,15;41217846784;20.694,85;423650095762;20.738,82;3551787850403
2012-05-31;21.096,41;2449769601167;21.855,45;1899400170507;21.949,98;2477628513663;21.228,46;41276739545;20.735,39;427898967121;20.777,97;3588948423049
2012-06-01;21.112,73;2450733499429;21.870,22;1903186732130;21.959,94;2480031856343;21.245,51;42271852635;20.746,35;427227490574;20.796,70;3587778389124
2012-06-02;21.112,73;2450733499429;21.870,22;1903186732130;21.959,94;2480031856343;21.245,51;42271852635;20.746,35;427227490574;20.796,70;3587778389124
2012-06-03;21.112,73;2450733499429;21.870,22;1903186732130;21.959,94;2480031856343;21.245,51;42271852635;20.746,35;427227490574;20.796,70;3587778389124
2012-06-04;21.062,05;2444954485021;21.820,40;1898048633935;21.915,42;2475718464131;21.209,25;43890167341;20.706,08;426777365708;20.743,38;3575733056255
2012-06-05;20.963,42;2434709397989;21.733,47;1890999035690;21.825,27;2465464796074;21.134,31;43705039942;20.624,71;425158183585;20.650,63;3556670171328
